timestamp,funds_reserved,funds_disbursed,rebate_avail
2022-01-21 04:36:07,4868001,173306355,2692160
2022-01-22 04:34:36,5154501,173306355,7405660
2022-01-23 04:33:07,5480001,173306355,7080160
2022-01-24 04:34:13,5795001,173306355,6765160
2022-01-25 04:34:09,3842001,175407855,6616660
2022-01-26 04:32:54,3935001,175406355,6525160
2022-01-27 04:33:48,4076001,175406355,6384160
2022-01-28 04:33:52,4167501,175406355,6292660
2022-01-29 04:33:21,4388001,175400355,6078160
2022-01-30 04:33:11,4623501,175400355,5842660
2022-01-31 04:33:46,4841001,175400355,5625160
2022-02-01 04:33:13,4953501,175400355,5512660
2022-02-02 04:33:05,4002501,176448855,5415160
2022-02-03 04:33:25,4272501,176448855,5145160
2022-02-04 04:28:02,4446501,176448855,4971160
2022-02-05 04:27:47,4685001,176448855,4732660
2022-02-06 04:33:01,4992501,176448855,4425160
2022-02-07 04:33:42,5222001,176448855,4195660
2022-02-08 04:32:53,5313501,176448855,4104160
2022-02-09 04:33:09,5373501,176448855,4044160
2022-02-10 04:32:51,5582001,176448855,3835660
2022-02-11 04:32:56,5777001,176448855,3640660
2022-02-12 04:32:57,5928501,176448855,3489160
2022-02-13 04:32:41,6131001,176448855,3286660
2022-02-14 04:33:25,6276501,176448855,3141160
2022-02-15 04:33:22,6321501,176448855,3096160
2022-02-16 04:34:37,4733001,178080855,3052660
2022-02-17 04:34:05,4832001,178080855,2953660
2022-02-18 04:34:03,4946001,178080855,2839660
2022-02-19 04:33:30,5084001,178080855,2701660
2022-02-20 04:33:28,5193501,178080855,2592160
2022-02-21 04:34:34,5255001,178080855,2530660
2022-02-22 04:33:40,5268501,178080855,2517160
2022-02-23 04:33:32,5340501,178080855,2445160
2022-02-24 04:33:52,5414001,178080855,2371660
2022-02-25 04:33:43,5486001,178080855,2299660
2022-02-26 04:48:24,5546001,178077855,2242660
2022-02-27 04:33:13,5589501,178077855,2199160
2022-02-28 04:34:23,5633001,178077855,2155660
2022-03-01 04:35:07,4043001,179817855,2005660
2022-03-02 04:34:33,3809001,180120855,1936660
2022-03-03 04:34:15,3885501,180120855,1860160
2022-03-04 04:34:30,3963501,180120855,1782160
2022-03-05 04:33:46,4071501,180120855,1674160
2022-03-06 04:33:37,4229001,180120855,1516660
2022-03-07 04:34:19,4326501,180120855,1419160
2022-03-08 04:34:31,4391001,180120855,1354660
2022-03-09 04:34:35,4466001,180120855,1279660
2022-03-10 04:35:22,4568001,180120855,1177660
2022-03-11 04:35:58,4645002,180120855,1100659
2022-03-12 04:35:52,4763502,180120855,982159
2022-03-13 04:35:32,4876002,180120855,869659
2022-03-14 04:44:34,4966002,180120855,779659
2022-03-15 04:34:48,5024502,180120855,721159
2022-03-16 04:34:08,5105502,180120855,5640159
2022-03-17 04:34:35,5237502,180120855,5508159
2022-03-18 04:34:32,5354502,180120855,5391159
2022-03-19 04:34:04,5491002,180120855,5254659
2022-03-20 04:34:27,5660502,180120855,5085159
2022-03-21 04:34:40,5902002,180120855,4843659
2022-03-22 04:35:04,6002502,180120855,4743159
2022-03-23 04:34:56,4242501,181979856,4644159
2022-03-24 04:35:11,3740001,182665356,4461159
2022-03-25 04:35:49,3888501,182665356,4312659
2022-03-26 04:34:31,4170501,182665356,4030659
2022-03-27 04:34:44,4460001,182665356,3741159
2022-03-28 04:35:03,4529001,182665356,3672159
2022-03-29 04:35:04,4616001,182665356,3585159
2022-03-30 04:35:12,4715001,182665356,3486159
2022-03-31 04:35:06,4781001,182665356,3420159
2022-04-01 04:38:23,4869501,182665356,3331659
2022-04-02 04:34:46,4947501,182665356,3253659
2022-04-03 04:34:34,4979001,182665356,3222159
2022-04-04 04:34:59,4997001,182665356,3204159
2022-04-05 04:34:01,5067501,182665356,3133659
2022-04-06 04:35:20,5127501,182665356,3073659
2022-04-07 04:35:25,5180001,182665356,3021159
2022-04-08 04:35:14,5213001,182665356,2988159
2022-04-09 04:34:55,5262501,182662356,2941659
2022-04-10 04:34:55,5312001,182662356,2892159
2022-04-11 04:36:31,5348001,182662356,2856159
2022-04-12 04:35:48,4719000,183324357,2823159
2022-04-13 04:37:46,3114000,184963857,2788659
2022-04-14 04:32:51,3171000,184963857,2731659
2022-04-15 04:49:37,3252000,184963857,2650659
2022-04-16 04:35:28,3259500,184963857,2643159
2022-04-17 04:35:18,3292500,184963857,2610159
2022-04-18 04:39:32,3303000,184963857,2599659
2022-04-19 04:49:18,3348000,184963857,2554659
2022-04-20 05:00:04,3402000,184963857,2500659
2022-04-21 05:01:40,3447000,184963857,7455659
2022-04-22 05:00:01,3514500,184963857,7388159
2022-04-23 04:35:35,3567000,184963857,7335659
2022-04-24 04:35:48,3610500,184963857,7292159
2022-04-25 04:40:28,3624000,184963857,7278659
2022-04-26 04:43:51,3712500,184963857,7190159
2022-04-27 04:57:41,3792000,184963857,7110659
2022-04-28 05:13:02,3375000,185461857,7029659
2022-04-29 04:44:31,2175000,186739857,6951659
2022-04-30 04:38:47,2259000,186733857,6873659
2022-05-01 04:49:37,2373000,186733857,6759659
2022-05-02 05:03:14,2460000,186733857,6672659
2022-05-03 04:45:21,2535000,186733857,6597659
2022-05-04 04:44:17,2599500,186733857,6533159
2022-05-05 04:48:15,2710500,186733857,6422159
2022-05-06 04:37:51,2811000,186733857,6321659
2022-05-07 04:36:21,2895000,186733857,6237659
2022-05-08 04:38:11,3001500,186733857,6131159
2022-05-09 04:45:39,3121500,186733857,6011159
2022-05-10 04:37:23,3180000,186733857,5952659
2022-05-11 04:52:11,3217500,186733857,5915159
2022-05-12 04:48:16,3331500,186733857,5801159
2022-05-13 05:08:22,3495000,186733857,5637659
